文档,摘要,模型预测摘要
北京时间8月19日晚，巴西主帅邓加公布了最新一期的巴西国家队22人名单，仅有内马尔、大卫路易斯、奥斯卡、浩克等10名参加了巴西世界杯的人被留下，蒂亚戈席尔瓦因伤落选，马塞洛、阿尔维斯、塞萨尔等人也落选。,巴 西 公 布 2 2 人 大 名 单 马 塞 洛 丹 特 落 选,巴 塞 尔 加 塞 尔 蒂 亚 马 尔 落 榜
北京时间8月20日凌晨，曼联在官方网站上宣布与里斯本竞技达成协议，阿根廷后卫罗霍正式加盟。据此前媒体的报道，罗霍的转会费为1750万英镑，与此同时，曼联的葡萄牙边锋纳尼也将租借到里斯本一个赛季。,曼 联 官 方 宣 布 罗 霍 加 盟 纳 尼 租 借 至 里 斯 本 一 年,霍 加 纳 与 斯 达 联 盟
加里-内维尔告诫范加尔要从去年夏天曼联所犯的昂贵错误中吸取教训，“曼联现在需要引援，但如果买不到合适的球员，那他就静观其变。上赛季有一些属于病急乱投医式的引援，买来的人不符合球队的打法，他们也正为此付出了代价。,内 维 尔 ： 曼 联 应 避 免 恐 慌 式 引 援,加 尔 维 斯 ： 加 尔 里 的 内 维 尔
地时间8月19日，巴塞罗那俱乐部为苏亚雷斯举办了媒体亮相发布会，发布会上苏亚雷斯说道：“在这里，我向所有球迷保证，大家不用担心，我不会再做那样的事了。”此外，巴萨副主席梅斯特雷公布了苏亚雷斯的转会费8100万欧元。,苏 神 保 证 : 以 后 不 会 再 咬 人 转 会 费 8 1 0 0 万,苏 亚 雷 斯 ： 梅 布 会 在 巴 萨 球 迷
前德国国脚迪特马尔-哈曼表示，格策到目前为止在拜仁的表现并不是非常理想，他认为这位极具天赋的球员本该做得更加出色：像他这种天赋异禀的球员，现在本该处于职业生涯的一个新阶段了，但他目前还未达到这种水平。,哈 曼 ： 格 策 天 赋 异 禀 但 发 展 滞 后,拜 仁 ： 曼 彻 球 员 的 未 来
切尔奇在个人推特上突然发表了自己和马竞已经达成协议的消息，但随后这条推特又被删除，他解释之所以出现这样的内容是因为“自己的账号被盗了：“我真不知道怎么回事，可能我当时和朋友在一起玩电子游戏，所以被盗了号。,切 尔 奇 推 特 宣 布 加 盟 马 竞 本 人 回 应 ： 账 号 被 盗,电 子 游 戏 删 除 删 除
由于阿森纳主场的票价较高，曼城俱乐部决定：今年9月13日，两队在酋长球场的英超比赛，俱乐部将资助前往酋长球场观赛的本队季票持有者，报销其球票花费的50%。早在上赛季，曼城球迷就曾因为阿森纳主场62英镑的高票价提出抗议。,曼 城 为 季 票 球 迷 报 销 5 0 %,英 超 票 价 比 赛 季 报 球 迷
北京时间8月18日，巴萨通过俱乐部官网宣布，经过队医的检查，确定内马尔的伤已经完全康复，前段时间训练中受伤的哈维也痊愈，两人都可以在明天凌晨甘伯杯对阵莱昂的比赛中登场比赛。,巴 萨 官 方 宣 布 内 马 尔 伤 愈 复 出,马 尔 维 斯 场 杯 内 维 尔 贝 尔
据今天出版的《体坛周报》报道，16日上午，习近平主席和国际奥委会主席巴赫进行了会面，在谈到足球的话题时，习主席提出三问：“什么时候中国能再进决赛圈”，“什么时候中国举办世界杯”，“何时中国能拿大力神杯”。,习 主 席 3 问 国 足 ： 何 时 入 围 世 界 杯 + 举 办 + 夺 冠 军,中 国 足 球 杯 力 争 夺 冠
阿森纳队长阿尔特塔日前在接受采访时说道：“拉姆塞作为一名中场这么能进球，这给你带来了额外的收获，他有点儿让我想起了当初在这儿效力的法布雷加斯，巅峰时期的法布雷加斯位置很靠前，能够送出致命一传，还能打进关键进球。,阿 尔 特 塔 ： 拉 姆 塞 让 我 想 起 了 小 法,阿 森 纳 ： 我 想 当 前 进 球
据《每日星报》报道，切尔西主帅穆里尼奥希望新援法布雷加斯能够在新赛季成为球队的“大脑”，“小法是那种我们之前没有的球员，我们拥有全能中场，拥有跑不死，也有稳定器，但我们从没有像他这样的进攻大脑，所以从这个意义上讲我们已经提高了.”,穆 里 尼 奥 寄 望 小 法 成 蓝 军 大 脑,穆 里 尼 奥 ： 我 们 没 法 援 ， 我 们 希 望 渺 茫
上周六法甲第二轮，巴黎圣日耳曼在2-0战胜巴斯蒂亚赛的后，莫塔在球员通道内遭到了布兰当的袭击，当晚，莫塔在接受检查后被确认鼻梁骨折。据来自法国足协的消息称，袭击者布兰当将会受到至少2年的禁赛处罚。,莫 塔 鼻 梁 骨 折 袭 击 者 或 禁 赛 2 年,莫 耶 斯 ： 当 当 遭 遇 袭 击
上周早些时候，曼联曾为罗霍报价2000万欧元但遭到里斯本竞技的回绝，随后有报道称为了能够前往老特拉福德踢球，罗霍缺席了球队的训练，日前，罗霍进行了道歉：”我为所发生的一切感到抱歉，这当中全是误会，我的职业生涯离不开里斯本竞技。,罗 霍 为 罢 训 向 里 斯 本 竞 技 正 式 致 歉,切 尔 西 离 开 ， 本 特 罗 斯
巴萨主帅路易斯-恩里克确认，苏亚雷斯将出战明天凌晨巴萨与莱昂的甘伯杯比赛，“苏亚雷斯将在明天的甘伯杯当中获得一些出场时间，他已在两次训练课上证明了他是一个天赋十足的球员，他看起来就是我们一直寻找的那个人。,恩 里 克 ： 苏 亚 雷 斯 将 出 战 莱 昂,苏 亚 雷 斯 ： 天 天 里 的 克 莱 伯 斯
在新赛季开始前，有传闻称巴萨新帅恩里克将要求梅西在进攻端的位置更加回撤，才能让苏亚雷斯踢他擅长的位置，对此，恩里克进行了否认，“梅西在进攻端依然将拥有绝对的自由度，他是世界最佳，毫无疑问，我们必须努力去适应他。,恩 里 克 ： 梅 西 仍 是 进 攻 核 心 ， 不 为 苏 神 让 路,苏 梅 里 ： 攻 克 里 适 应
北京时间8月17日，日本J2联赛第27轮比赛展开争夺，横滨FC主场4-2战胜赞岐釜玉乌冬海，47岁5个月22天的三浦知良在第88分钟替补出场，刷新了由他自己保持的J2联赛最高龄出场纪录。,4 7 岁 5 月 2 2 天 ! 三 浦 知 良 刷 新 J 联 赛 最 高 龄 出 场 纪 录,联 赛 出 场 2 - 2 横 场
英国媒体《每日星报》透露，斯特林要求俱乐部将他的薪水提升三倍，他目前周薪为3.5万镑，对此罗杰斯表示：“当你太快地给予年轻球员回报时，实际上是毁了他们，你让他们在很早的时候就得到很多，他们就会失去自制力，然后不知不觉就堕落了。,罗 杰 斯 ： 涨 薪 会 毁 了 斯 特 林,英 媒 ： 斯 特 林 若 不 会 谈 虑
利物浦首发（433）：米尼奥莱/曼基略、斯科特尔、洛夫伦、格伦-约翰逊/亨德森、杰拉德、卢卡斯/斯特林、斯图里奇、库蒂尼奥；替补：琼斯、图雷、萨科、乔-阿伦、伊比、埃姆雷-詹、兰伯特。,英 超 首 轮 利 物 浦 v s 南 安 普 顿,琼 瑶 莱 ： 利 物 浦 发 特 利 物 浦
红军主帅罗杰斯直言，没必要同情被挖空的南安普敦，“作为一家俱乐部他们可以自己做决定，所以我不同情他们，一点也不，足球的本质就是这样，人往高处走，卢克肖也许会因为要离开南安普敦而感到失望和难过，但他终归嫁入了一家豪门俱乐部。,罗 杰 斯 ： 一 点 也 不 同 情 圣 徒,卢 普 ： 不 要 直 言 罗 杰 斯
上赛季，切尔西饱受锋无力的困扰，今夏他们从马竞引进了迭戈-科斯塔，在穆帅看来，科斯塔要比阿圭罗、法尔考要好，“科斯塔是马竞“神锋传统”的代言人，在他之前，阿圭罗和法尔考都是超级巨星，但我认为科斯塔要比他之前的那些前锋都要好.”,穆 帅 ： 科 斯 塔 比 阿 圭 罗 和 法 尔 考 都 强,科 斯 塔 科 比 前 锋 ： 科 尔 要 要 前 锋
曼联揭幕战主场负于斯旺西之后，斯科尔斯作为嘉宾在BTSport节目上讲话时说道：“曼联失去了埃弗拉、维迪奇、里奥，现在的这支曼联后防经验不足，他们也为此付出了代价，但中场实力不足才是重点，鲁尼和马塔根本得不到什么机会。,斯 科 尔 斯 ： 后 防 太 年 轻 中 场 质 量 不 行,曼 联 ： 科 斯 塔 防 战 场
新赛季英超揭幕战主场输给斯旺西后，范加尔在接受采访时说道：“我们迈出了自己的步伐，但你必须从自己所迈的步伐当中吸取教训。我们还不是冠军。斯旺西战胜了我们，但这也不能让他们成为冠军。等到赛季结束，我们就知道谁会是冠军了。,范 加 尔 ： 我 们 必 须 从 失 败 中 吸 取 教 训,谁 是 谁 赢 赢 谁 冠 军 ？
在曼联1-2输给斯旺西后，《每日邮报》对莫耶斯进行了专访。“我在埃弗顿干得很好，但我们也是经历了几个糟糕的赛季才走向正轨，我选择执教曼联是因为我认为曼联会给我时间，但是却没有，说实话我很伤心，因为我相信我会取得成功。,莫 耶 斯 : 曼 联 没 给 我 足 够 的 时 间 被 解 雇 很 伤 心,莫 耶 斯 ： 我 为 我 会 成 功
北京时间8月17号凌晨，利物浦官方宣布从塞维利亚签下西班牙国脚后卫阿尔伯托-莫雷诺，但具体的合同年限跟转会费数额并未对外公布，据此前媒体报道，转会费为1200万英镑。莫雷诺是利物浦今夏的第8笔正式引援，新赛季他将身披18号球衣。,利 物 浦 官 方 莫 雷 诺 加 盟 1 2 0 0 万,阿 利 浦 转 会 签 球 ， 莫 斯 托 雷 诺
当地时间8月16日晚，国际米兰官方宣布签下智利国脚梅德尔，双方签订了4年的合同，据媒体透露，转会费为800万欧元+100万欧元浮动。梅德尔上赛季效力于英超卡迪夫城，但卡迪夫城不幸降级。,国 米 官 方 宣 布 智 利 国 脚 梅 德 尔 加 盟 9 0 0 万 4 年,合 肥 城 市 宣 布 转 会 续 约
北京时间8月16日晚，切尔西官方宣布维克托-摩西外租至斯托克城，租借期到本赛季结束。摩西已是连续两个赛季被外租，上赛季他被租借至利物浦，摩西也成为了切尔西今夏第16位租借离队的球员。,切 尔 西 宣 布 摩 西 外 租 斯 托 克 城,摩 托 租 队 借 租 借 摩 托 租 借
北京时间8月16日晚，巴塞罗那俱乐部官方宣布与阿根廷球星马斯切拉诺续约至2018年。早在马斯切拉诺前往巴西征战世界杯前，这份续约合同便已经达成。新合同中还包含了一条违约金条款，涉及金额达1亿欧元。,巴 萨 宣 布 与 马 斯 切 拉 诺 续 约 四 年,阿 根 廷 宣 布 与 巴 塞 斯 续 约
曼联首发：德赫亚/菲尔-琼斯、斯马林、布莱克特/林加德、弗莱彻、马塔、埃雷拉、阿什利杨/鲁尼、埃尔南德斯；替补：阿莫斯、里斯-詹姆斯、M-基恩、费莱尼、香川真司、贾努扎伊。,英 超 揭 幕 战 - 曼 联 V S 斯 旺 西,德 赫 亚 马 逊 首 发
16岁的小涛今年读高二，是尤文图斯的球迷，前不久，他又听说尤文16日将在新加坡举行一场友谊赛，于是小涛决定去现场看球。他把这打算告诉父母，并要8000元的费用，但遭父亲陈明严词拒绝，最后因为这事父子两人打了起来。,儿 子 要 钱 出 国 看 球 遭 拒 绝 与 父 亲 大 打 出 手,父 亲 因 拒 绝 不 要 儿 子
在主力门将争夺中不敌迭戈-洛佩斯之后，卡西经历了两个困难的赛季，今夏的巴西世界杯的表现也让人大失所望，有人认为卡西过了巅峰期，对此C罗表示，”卡西一直都是世界最佳门将之一，他一直都是世界级的。只要有卡西在，皇马就是安全的。,C 罗 ： 卡 西 一 直 都 是 世 界 级,世 界 杯 之 巅 峰 ： 西 门 之 巅 峰
对于该继续信任切赫还是给予库尔图瓦上位的机会，穆帅表示，“我觉得切尔西拥有世界上最出色的三位门将中的两位，所以我今天的第一选择明天并不见得依然是，这要取决于球员的表现。我不会说‘你是这项赛事的门将，你负责在那条战线守门”。,穆 帅 ： 不 会 让 不 同 门 将 分 管 不 同 赛 事,穆 帅 ： 我 的 门 球
尽管切尔西上赛季四大皆空，但穆里尼奥日前在接受采访时表示新赛季无压力，“上赛季回归切尔西时正面临新老交替，而英超还是世界上唯一一个四五支球队争夺冠军的联赛，为什么要有压力？有些人10年才夺冠，我只用了2年。,穆 里 尼 奥 暗 讽 温 格 拿 冠 军 难 自 己 没 压 力,切 尔 西 ： 冠 军 切 尔 西 夺 冠
据西班牙媒体《每日体育报》消息，华裔富商林荣富已经同意清偿瓦伦西亚俱乐部债务，有望在当地时间今天下午正式签订协议，他将正式成为西甲劲旅的新老板。据悉，称瓦伦西亚的债务总额超过2亿欧元。,华 裔 富 商 即 将 入 主 瓦 伦 西 亚,富 豪 老 板 正 式 成 为 西 亚 富 豪
日前，曼城中场亚亚-图雷在接受天空体育采访时说道：“我们知道英超很难踢，我们要努力卫冕英超冠军，但我们知道这很困难。有切尔西、阿森纳和曼联在，联赛的竞争将会非常激烈，夺冠会很困难。,亚 亚 - 图 雷 ： 英 超 卫 冕 艰 难,亚 冠 联 赛 ： 雷 军 难 夺 冠 军
据《体坛周报》报道，一家被中国人收购的葡萄牙俱乐部（葡萄牙人竞技）被怀疑参与打假球、赌球，国际足联下令严查，并要求葡萄牙足协对所有在葡萄牙从事与足球有关活动的所有中国经纪人、经纪公司均展开全面调查，“防止中国人毁掉葡萄牙足球”。,华 人 控 股 葡 甲 队 涉 嫌 赌 球 假 球,葡 球 中 国 人 被 球 迷
最近拜仁CEO鲁梅尼格“无意间”透露罗伊斯的解约金为2500万欧元，这让瓦茨克非常不满“我们曾经长时间的保持很专业的关系，但从现在开始，多特和拜仁高层之间没有任何关系了。任何一家俱乐部都不该在公开场合谈论对手球员的合同情况。,多 特 C E O : 和 拜 仁 高 层 再 无 关 系,梅 格 ： 我 们 就 是 一 个 关 系
在国际体育仲裁庭对苏亚雷斯作出判决后，巴萨通过俱乐部官网发表声明称：“苏亚雷斯将于明天亦即周五首次跟球队进行合练。下周一，巴萨将为苏亚雷斯在诺坎普举行公开的亮相仪式。,巴 萨 确 认 苏 神 周 五 首 练 ， 下 周 一 亮 相 诺 坎 普,苏 亚 雷 斯 将 于 周 五 明 亮
